Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,334224.73,21090.77,428000.00,72,0,2,0,13,0,84,0,5,0.8947760588257225,888
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,1275545.09,71678.55,320000.00,111,0,6,0,70,0,126,0,10,0.8584846566655608,1320
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,133956.55,35310.34,1946000.00,592,0,3,0,3,0,636,0,16,0.9419094422407759,7728
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,52812.32,209519.87,9581200.00,415,0,0,3,0,6,0,515,80,0.9206185288365221,5628
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,36828.41,121738.37,10765800.00,471,0,0,0,0,0,620,0,80,0.9235479875450041,5976
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,49922.76,132703.45,11643200.00,481,0,0,1,0,0,0,629,80,0.9215481946219202,6144
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,32693.35,255176.25,12866000.00,504,0,0,4,0,5,0,620,77,0.950846514521238,6408
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,51056.71,209218.76,13158600.00,476,0,0,4,0,5,0,627,76,0.9401447225317637,6216
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,34908.03,244573.74,12438800.00,477,2,0,4,0,6,0,609,76,0.9074441132777142,5700
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,123835.15,0.00,0,193,0,0,0,3,0,292,4,1.856369392514299,1020
