Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
2a6298c1-8383-35ca-88e1-00587bed08f6,LEE MEMORIAL HOSPITAL,2776 CLEVELAND AVE,FORT MYERS,FL,33901,26.432536,-81.91674599999997,2393321111,0.0,4
eedb7a55-60ca-38d7-9b41-a630c4523dbd,BAYFRONT HEALTH PUNTA GORDA,809 E MARION AVE,PUNTA GORDA,FL,33950,26.876171000000006,-81.836764,9416393131,0.0,1
c29bd243-9860-3b75-a8ab-52f1ea35446d,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,13681 DOCTORS WAY,FORT MYERS,FL,33912,26.61901,-81.831956,2397685000,0.0,15
dfc9ba8e-8801-342a-a6fd-c2a1c4fee8f1,CAPE CORAL HOSPITAL,636 DEL PRADO BLVD,CAPE CORAL,FL,33990,26.643119,-81.997331,2395742323,0.0,7
aab40c3b-f15a-332c-bc36-08f3c4db4fa1,PCP8093,3940 METRO PKWY,FT MYERS,FL,33916-9407,26.61901,-81.831956,239-275-7865,0.0,59
eaca628d-8173-31d0-86b4-07a14926044f,PCP8635,1342 COLONIAL BLVD,FORT MYERS,FL,33907-1011,26.559034999999998,-81.891994,239-275-7440,0.0,9
99a9a26e-65f7-35df-a66f-3a63354eccde,PCP19311,1224 ALABAR LN,CAPE CORAL,FL,33909-5102,26.655205,-82.00428000000001,239-772-5777,0.0,43
c1889ae1-6974-3ba7-baac-92a4be910af5,PCP39743,610 ASTARIAS CIR,FORT MYERS,FL,33919-3200,26.559034999999998,-81.891994,239-772-1042,0.0,28
16800763-e33c-32bf-a27d-3e966d86e607,JOSEPH CONVERTINO  OD  PA,545 PINE ISLAND RD,NORTH FORT MYERS,FL,33903-3764,26.722062,-81.863262,239-656-3937,0.0,142
51c84542-11ea-3e90-b903-4bc4767bf599,GULF COAST CARDIOTHORACIC SURGEONS,8010 SUMMERLIN LAKES DR,FT MYERS,FL,33907-1849,26.55052,-81.867802,239-939-1767,0.0,105
91d0eeb9-56c2-3137-a625-28fa6d1f3883,PCP65996,2709 SWAMP CABBAGE COURT,FORT MYERS,FL,33901-9355,26.559034999999998,-81.891994,239-939-7395,0.0,56
3f471f43-a6be-37e7-8d0a-eb25b4812bf3,PCP71353,88 PINE ISLAND RD,N FT MYERS,FL,33903-3745,26.689447,-81.89440400000002,239-656-1778,0.0,63
3412857b-a940-3fbd-83fd-d335c729c4dd,WEST COAST EYE CARE INC,15640 NEW HAMPSHIRE CT,FT MYERS,FL,33908-4168,26.476694,-81.81886300000002,239-466-3111,0.0,111
1cd89c03-1d08-3c84-8b91-1e1fbf63549f,PCP89705,13180 N CLEVELAND AVE,NORTH FORT MYERS,FL,33903-6231,26.722062,-81.863262,,0.0,50
67704873-42b9-3867-8552-41a4e559d254,PCP90277,15721 NEW HAMPSHIRE CT,FORT MEYERS,FL,33908-4176,26.476694,-81.81886300000002,,0.0,33
df546584-2978-3b67-aff7-afc18e5c8817,PCP98066,3615 CENTRAL AVE,FT MYERS,FL,33901-8257,26.61901,-81.831956,,0.0,329
abbd42a7-bd40-346a-ab1e-042c4fd99513,FIFER AND HELIGMAN MD PA,8350 RIVERWALK PARK BLVD,FT MYERS,FL,33919-8759,26.572483,-81.890588,941-482-5399,0.0,388
eaf45bea-0fea-3fb6-b042-c1a1c18d9c08,PCP104658,8190 LITTLETON RD,NORTH FORT MYERS,FL,33903-2228,26.722062,-81.863262,,0.0,39
