Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,5104.86,568.68,135500.00,22,0,0,0,0,0,26,0,3,0.6201427951525629,348
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,80710.43,5783.46,590250.00,208,0,4,0,4,0,230,0,19,0.8500065643434522,2424
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,169346.64,24512.98,1112500.00,356,0,7,0,6,0,450,0,13,0.5835240274599542,5244
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,6763.04,181958.81,14069200.00,590,0,0,0,0,2,0,719,84,0.9143729078735617,8220
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,93600.06,164784.51,13118400.00,542,0,4,0,6,0,643,0,84,0.9202553389813913,7212
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,1352.03,287197.67,13581200.00,517,0,0,6,0,6,0,644,84,0.9228824549497169,7104
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,6607.49,252769.72,15388000.00,528,0,0,3,0,5,0,548,80,0.8993329297801514,7692
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,1476.44,135132.58,14884800.00,535,0,0,1,0,0,0,609,83,0.9132393415156048,7080
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,1702.92,213128.09,14854400.00,497,2,0,4,0,5,0,544,80,0.8880684091672608,6756
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,398181.89,0.00,0,562,0,7,0,11,0,646,9,1.7252231452877287,4188
