Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
deee6a00-d016-3b51-8f88-4c572e0cc3b7,ST BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,IL,60621,41.837551,-87.681844,7739623900,0.0,1
e6a0f49a-695e-3c73-af75-35f9a56e94d8,PCP26346,4701 N CUMBERLAND AVE,NORRIDGE,IL,60706-2905,41.963738,-87.823195,708-456-0152,0.0,42
4c131664-0736-348f-baf4-49d51db72b3d,PCP29547,6677 N LINCOLN AVE,LINCOLNWOOD,IL,60712-3619,42.005429,-87.732959,847-679-4619,0.0,34
fd90b164-5007-3dcf-9e32-02f52a0ff7c6,ASSOCIATED BEHAVIORAL CONSULTANTS  INC,6600 N LINCOLN AVE,LINCOLNWOOD,IL,60712-3633,42.005429,-87.732959,847-227-8323,0.0,30
e4cadf8c-1b7a-312e-8410-a1fc6f002587,PCP115530,3434 W PETERSON,CHICAO,IL,60659-3319,41.837551,-87.681844,,0.0,52
128df897-113d-3133-85cc-06cac0352fd7,PCP201234,9201 WAUKEGAN RD,MORTON GROVE,IL,60053-2102,42.042321,-87.789012,,0.0,28
b93d05c8-9bb6-3c31-a4e1-6665e5751b85,PCP226561,3034 W PETERSON AVE,CHIAGO,IL,60659-3729,41.837551,-87.681844,,0.0,52
e210003c-78a2-3b4b-9fae-5e3d3ea746c1,PCP258270,800 BIESTERFIELD RD,ELK GROVE,IL,60007-3311,42.005778,-87.993034,,0.0,29
3dde9b8f-ad02-335a-bd83-1ed4b551378e,PCP267745,7126 N LINCOLN AVE,LINCOLNWOOD,IL,60712-2234,42.005429,-87.732959,,0.0,28
501b8273-cfb5-31c5-bf07-302ddb5ab50d,ATHLETIC AND THERAPEUTIC INSTITUTE OF NAPERVILLE LLC,8735 S MERRION LN,HOMETOWN,IL,60456-1133,41.731248,-87.731134,708-658-6447,0.0,33
8e67dd49-a95f-33c8-a18f-4d1a11c2240c,INPATIENT CONSULTANTS OF ILLINOIS PC,14500 S MANISTEE AVE,BURNHAM,IL,60633-2004,41.63948,-87.54496,708-862-1260,0.0,32
