Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
ca4b1a4d-5f7f-3d05-99aa-635e0efc0146,MOUNT CARMEL ST ANN'S,500 SOUTH CLEVELAND AVENUE,WESTERVILLE,OH,43081,40.123435,-82.913324,6148984000,0.0,1
992497e4-2e04-3529-ace3-a13d222812f5,OHIO STATE UNIVERSITY HOSPITALS,410 WEST 10TH AVENUE,COLUMBUS,OH,43210,39.984799,-82.98504399999999,6142939700,0.0,2
fdd84f2e-dd2f-3912-976d-b1c0ae22d1d2,DOCTORS HOSPITAL,5100 WEST  BROAD STREET,COLUMBUS,OH,43228,39.984799,-82.98504399999999,6145441000,0.0,1
a1d1bdc6-1829-31c8-b23d-cd8a04980419,DILEY RIDGE MEDICAL CENTER,7911 DILEY ROAD,CANAL WINCHESTER,OH,43110,39.839871,-82.81610699999997,6148387910,0.0,1
25ef4c15-3d4e-39ca-8b40-cde7937b3133,NATIONWIDE CHILDREN'S HOSPITAL,700 CHILDREN'S DRIVE,COLUMBUS,OH,43205,39.984799,-82.98504399999999,6147222000,0.0,1
b0e24437-d116-3ee5-8268-e21804e7510b,PCP1678,5791 ZARLEY ST B,NEW ALBANY,OH,43054-7091,40.083073,-82.798908,614-600-2225,0.0,56
ea0124f3-455c-3607-9849-68c9aa233943,PCP11408,2691 E MAIN ST,BEXLEY,OH,43209-2535,39.965358,-82.93447900000001,614-231-2951,0.0,2
64d6326e-9192-3365-855c-35412d324d2b,PCP11461,4599 CEMETERY RD,HILLIARD,OH,43026-1102,40.037608,-83.14972900000001,614-876-1113,0.0,45
8c7f765c-d42a-36f1-bb7a-88844a7f66d9,PCP14409,6000 COOPER RD,WESTERVILLE,OH,43081-8984,40.1168,-82.917456,614-890-0000,0.0,62
8df6962e-34e7-3378-a8b1-64662f332ce1,MELANIE J BALLARD OD LTD,113 COMMERCE PARK DR A,WESTERVILLE,OH,43082-6055,40.1168,-82.917456,614-882-9131,0.0,43
