Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,1029625.30,63090.81,1296500.00,226,0,8,0,49,0,256,0,23,0.8070328813942411,2772
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,4598430.04,294216.50,4806000.00,1658,0,83,0,244,0,1865,0,122,0.8719073260557053,19764
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,2238589.73,347140.51,17323500.00,5505,0,39,0,59,0,6896,0,178,0.8302466456262737,73608
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,138180.25,1823994.14,116453400.00,5174,0,0,10,0,23,0,6402,777,0.9161182686406574,68100
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,710909.40,1365105.44,114051600.00,4658,0,30,0,38,0,5759,0,774,0.9086991991214974,63288
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,146222.63,1856361.50,117651800.00,4591,0,0,20,0,34,0,5604,758,0.9170327470262338,61812
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,170258.55,1789369.05,120302000.00,4515,0,0,26,0,33,0,5540,759,0.8993949856430465,60108
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,135135.70,1723925.39,122094000.00,4203,0,0,31,0,36,0,5325,752,0.8977377197498588,58272
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,144588.38,1612479.03,126016000.00,4251,10,0,20,0,31,0,5282,760,0.8942329639131141,57480
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,2529647.92,0.00,0,3670,0,19,0,72,0,4525,57,1.8875794584299652,22992
